date,msl_m
2002-09-15,0.157
2002-10-15,0.178
2002-11-15,-0.033
2002-12-15,-0.079
2003-01-15,-0.126
2003-02-15,-0.133
2003-03-15,0.032
2003-04-15,0.098
2003-05-15,0.121
2003-06-15,0.117
2003-07-15,0.077
2003-08-15,0.083
2003-09-15,0.234
2003-10-15,0.088
2003-11-15,0.046
2003-12-15,-0.044
2004-01-15,-0.148
2004-02-15,-0.072
2004-03-15,-0.007
2004-04-15,-0.027
2004-05-15,0.019
2004-06-15,0.084
2004-07-15,0.118
2004-08-15,0.122
2004-09-15,0.221
2004-10-15,0.247
2004-11-15,0.084
2004-12-15,0.001
2005-01-15,0.026
2005-02-15,0.083
2005-03-15,0.044
2005-04-15,0.173
2005-05-15,0.182
2005-06-15,0.159
2005-07-15,0.158
2005-08-15,0.161
2005-09-15,0.152
2005-10-15,0.159
2005-11-15,0.013
2005-12-15,-0.042
2006-01-15,-0.027
2006-02-15,-0.041
2006-03-15,-0.032
2006-04-15,0.057
2006-05-15,0.156
2006-06-15,0.102
2006-07-15,0.063
2006-08-15,0.137
2006-09-15,0.242
2006-10-15,0.151
2006-11-15,0.139
2006-12-15,-0.054
2007-01-15,-0.08
2007-02-15,-0.199
2007-03-15,-0.08
2007-04-15,0.047
2007-05-15,0.057
2007-06-15,0.152
2007-07-15,0.113
2007-08-15,0.173
2007-09-15,0.15
2007-10-15,0.171
2007-11-15,0.041
2007-12-15,0.0
2008-01-15,-0.05
2008-02-15,-0.039
2008-03-15,0.028
2008-04-15,0.132
2008-05-15,0.188
2008-06-15,0.101
2008-07-15,0.088
2008-08-15,0.127
2008-09-15,0.202
2008-10-15,0.112
2008-11-15,0.023
2008-12-15,-0.093
2009-01-15,-0.096
2009-02-15,-0.08
2009-03-15,0.018
2009-04-15,0.051
2009-05-15,0.075
2009-06-15,0.255
2009-07-15,0.196
2009-08-15,0.125
2009-09-15,0.233
2009-10-15,0.216
2009-11-15,0.229
2009-12-15,0.052
2010-01-15,-0.005
2010-02-15,0.007
2010-03-15,0.204
2010-04-15,0.113
2010-05-15,0.112
2010-06-15,0.153
2010-07-15,0.12
2010-08-15,0.217
2010-09-15,0.212
2010-10-15,0.152
2010-11-15,0.153
2010-12-15,-0.002
2011-01-15,-0.006
2011-02-15,-0.025
2011-03-15,0.101
2011-04-15,0.121
2011-05-15,0.247
2011-06-15,0.21
2011-07-15,0.183
2011-08-15,0.206
2011-09-15,0.307
2011-10-15,0.211
2011-11-15,0.097
2011-12-15,0.049
2012-01-15,-0.032
2012-02-15,-0.023
2012-03-15,0.063
2012-04-15,0.097
2012-05-15,0.152
2012-06-15,0.244
2012-07-15,0.177
2012-08-15,0.199
2012-09-15,0.145
2012-11-15,0.165
2012-12-15,0.124
2013-01-15,-0.006
2013-02-15,-0.015
2013-03-15,0.118
2013-04-15,0.098
2013-05-15,0.082
2013-06-15,0.126
2013-07-15,0.152
2013-08-15,0.207
2013-09-15,0.206
2014-05-15,0.18
2014-06-15,0.217
2014-07-15,0.154
2014-08-15,0.24
2014-09-15,0.241
2014-10-15,0.22
2014-11-15,0.031
